"time" "cause" "pct" "age_specific" "sex" "id" "start" "end" "group" "cip"
78 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.95472586968674
78.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0284779969700605
78.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0147855767792755
78.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.956736426250661
78.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.026343761107605
78.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0148010281666646
78.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.958855210725728
78.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0243925532288627
78.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0148511159884647
78.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.960756330782669
79 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0226228711568802
79 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0148712712881869
79 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.96250585755493
79.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0209938295117036
79.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0149029967334567
79.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.964103173754836
79.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0195241227925996
79.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.014920507085993
79.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.965555370121404
79.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0180579030644926
79.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0149370120778313
79.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.967005084857672
80 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0167335668655625
80 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0149422184903266
80 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.968324214644107
80.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0155311930280742
80.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0149610387251172
80.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.969507768246805
80.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0143810048587755
80.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.01497423675625
80.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.97064475838497
80.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0132216086876115
80.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0149948966835059
80.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.971783494628878
81 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0121560886057581
81 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0150293911821521
81 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.972814520212084
81.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0112299083435052
81.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0150329839532665
81.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.973737107703223
81.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0103181569497623
81.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0150429322303058
81.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.974638910819927
81.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.00946521775314369
81.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0150569265856273
81.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.975477855661226
82 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.00866738096179393
82 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0150670361353392
82 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.976265582902864
82.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.00798057119776903
82.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0150751722966488
82.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.976944256505579
82.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.00728693065770958
82.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0150887683815653
82.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.977624300960722
82.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.00669741894995231
82.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0151050142867026
82.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.978197566763341
83 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0060812631167378
83 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0151145898044015
83 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.978804147078858
83.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.00553164041538487
83.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0151214437887045
83.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.979346915795909
83.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.00505835584159832
83.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0151305073775545
83.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.979811136780844
83.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.00461394032110188
83.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0151347694789666
